R,G,B,TextColor
176,87,167,black
112,135,67,black
208,131,91,black
76,83,32,white
183,208,132,black
57,197,249,black
75,54,129,white
79,44,201,white
0,113,24,white
54,24,145,white
132,246,23,black
160,185,176,black
119,185,235,black
207,39,239,black
140,87,45,white
177,244,170,black
54,246,124,black
193,139,89,black
60,202,153,black
64,164,168,black
237,115,190,black
214,174,59,black
224,150,137,black
138,213,43,black
133,99,60,white
211,101,219,black
210,139,63,black
125,190,28,black
80,173,110,black
184,79,71,white
29,152,142,black
30,111,34,white
239,30,240,black
38,28,162,white
219,253,192,black
54,241,221,black
245,150,221,black
253,122,86,black
13,35,32,white
82,85,58,white
223,168,207,black
249,129,8,black
19,122,225,black
244,50,63,black
83,89,56,white
3,112,123,white
151,231,2,black
169,182,136,black
125,167,153,black
205,135,254,black
64,252,92,black
5,95,61,white
21,138,155,black
107,146,141,black
159,74,106,white
38,4,117,white
99,187,72,black
162,108,170,black
144,103,126,white
172,151,206,black
58,192,65,black
22,153,188,black
143,207,87,black
12,222,13,black
247,36,189,black
216,51,31,white
124,115,155,black
101,57,165,white
159,238,65,black
32,79,173,white
112,142,109,black
210,193,224,black
165,103,148,black
250,139,176,black
28,19,153,white
136,137,135,black
4,126,168,white
162,122,107,black
77,149,3,black
213,65,37,black
122,223,145,black
238,237,252,black
218,207,87,black
215,11,90,white
53,0,219,white
102,208,167,black
46,225,250,black
65,179,146,black
208,87,72,black
142,208,135,black
248,42,190,black
96,255,127,black
215,123,66,black
18,48,62,white
53,38,180,white
253,153,241,black
224,235,117,black
53,1,141,white
9,234,35,black
176,201,118,black
87,72,187,white
54,30,60,white
57,142,177,black
199,181,193,black
88,186,188,black
150,40,228,white
68,144,109,black
239,92,50,black
118,179,130,black
16,114,54,white
168,151,24,black
28,65,139,white
84,176,61,black
131,220,230,black
139,63,87,white
193,123,147,black
135,249,247,black
92,136,35,black
81,36,240,white
205,254,168,black
108,23,146,white
137,3,16,white
79,91,135,white
115,47,150,white
20,92,71,white
157,238,8,black
91,105,252,black
143,119,70,black
118,54,46,white
251,183,114,black
121,226,47,black
136,64,156,white
167,198,174,black
214,103,175,black
76,216,127,black
83,253,201,black
72,194,147,black
176,13,101,white
166,1,44,white
50,178,183,black
9,2,140,white
200,105,156,black
219,251,26,black
13,5,73,white
83,241,184,black
234,48,57,black
147,161,78,black
138,33,119,white
2,127,216,black
25,72,103,white
153,181,171,black
89,238,147,black
113,246,187,black
15,33,69,white
225,170,193,black
131,189,36,black
51,180,191,black
240,150,53,black
253,155,168,black
42,222,63,black
240,186,203,black
192,150,1,black
189,194,223,black
143,189,59,black
18,140,159,black
17,78,21,white
27,30,45,white
150,132,192,black
123,25,131,white
232,67,204,black
25,89,248,white
54,159,26,black
77,74,25,white
169,148,49,black
98,120,253,black
194,177,177,black
189,86,120,black
88,122,253,black
164,189,78,black
191,194,242,black
43,207,7,black
68,179,255,black
42,47,213,white
235,190,153,black
20,157,235,black
114,1,209,white
173,147,249,black
194,56,98,white
124,250,221,black
48,88,200,white
138,140,118,black
88,156,46,black
7,91,41,white
65,103,234,white
173,21,209,white
136,81,107,white
35,126,83,white
201,9,160,white
116,202,44,black
222,62,129,black
253,136,156,black
126,46,228,white
80,51,218,white
247,18,68,black
104,202,246,black
103,139,199,black
27,156,64,black
114,23,90,white
200,47,32,white
70,94,206,white
198,45,199,black
28,254,114,black
111,20,142,white
182,231,191,black
63,223,193,black
83,128,185,black
155,243,76,black
14,131,57,white
39,114,105,white
84,156,199,black
100,233,230,black
2,106,156,white
74,12,144,white
118,173,164,black
171,167,25,black
55,22,104,white
158,213,63,black
185,62,5,white
193,251,232,black
92,242,59,black
36,247,5,black
168,46,94,white
121,38,95,white
108,254,204,black
17,51,220,white
21,146,204,black
143,21,234,white
79,237,8,black
7,74,176,white
82,6,175,white
220,236,193,black
216,167,5,black
214,133,157,black
147,207,105,black
204,177,15,black
179,227,193,black
148,1,189,white
184,159,91,black
84,203,233,black
41,63,24,white
90,104,160,white
63,98,203,white
186,6,178,white
74,207,233,black
130,35,17,white
63,140,221,black
88,24,123,white
153,149,193,black
139,151,24,black
26,105,42,white
29,193,166,black
228,133,200,black
27,120,75,white
18,92,43,white
46,225,206,black
128,62,96,white
6,42,29,white
215,184,248,black
11,45,39,white
200,206,238,black
149,223,129,black
86,156,248,black
71,67,168,white
101,250,50,black
167,77,212,black
55,115,116,white
218,177,153,black
107,84,101,white
218,164,196,black
121,234,139,black
131,200,151,black
97,54,112,white
225,108,121,black
99,13,19,white
67,94,68,white
169,191,109,black
38,225,81,black
74,24,187,white
30,199,238,black
105,29,249,white
19,82,224,white
95,239,223,black
60,116,38,white
42,82,57,white
124,181,213,black
249,145,146,black
218,9,17,white
30,187,94,black
156,18,99,white
2,183,178,black
193,226,12,black
215,87,47,black
200,117,86,black
85,36,152,white
141,113,255,black
197,111,116,black
195,35,159,white
144,234,253,black
115,78,36,white
45,32,69,white
7,33,65,white
64,186,63,black
60,24,163,white
102,115,52,white
39,13,255,white
83,7,112,white
32,131,206,black
194,101,244,black
182,166,194,black
168,239,172,black
103,175,148,black
59,133,145,black
125,13,157,white
181,72,100,white
52,222,118,black
179,142,134,black
235,177,156,black
28,79,240,white
182,192,229,black
149,248,36,black
39,28,215,white
110,110,18,white
237,13,6,black
131,87,152,white
225,66,188,black
41,53,227,white
7,252,218,black
170,139,53,black
209,146,77,black
30,240,120,black
167,38,120,white
56,145,172,black
105,121,48,white
176,227,240,black
58,249,170,black
108,190,89,black
125,160,108,black
1,226,79,black
161,34,131,white
89,53,58,white
21,150,252,black
38,18,191,white
218,241,49,black
156,216,143,black
150,163,186,black
147,126,234,black
119,148,140,black
73,61,159,white
6,194,187,black
140,255,213,black
211,231,134,black
89,236,252,black
67,82,59,white
176,17,93,white
21,183,9,black
145,92,15,white
218,94,228,black
202,24,233,black
150,69,119,white
48,249,116,black
67,101,234,white
150,31,49,white
166,201,168,black
133,172,90,black
195,97,121,black
82,208,156,black
215,215,217,black
73,98,84,white
72,49,30,white
58,48,11,white
58,167,220,black
78,156,89,black
165,151,201,black
173,80,77,white
211,20,193,black
48,149,6,black
183,116,38,black
105,54,177,white
144,185,8,black
124,61,4,white
27,211,212,black
252,223,21,black
143,182,122,black
248,113,40,black
5,7,77,white
133,83,100,white
80,254,241,black
240,231,3,black
18,162,37,black
33,119,253,black
34,173,20,black
63,49,16,white
225,205,203,black
167,145,202,black
6,207,208,black
90,47,64,white
139,86,129,white
90,185,224,black
253,229,236,black
253,6,247,black
154,45,15,white
132,121,102,black
229,71,51,black
97,130,144,black
169,234,190,black
63,242,232,black
93,219,126,black
178,40,120,white
180,71,59,white
60,54,151,white
108,141,68,black
116,137,56,black
248,92,66,black
32,1,69,white
152,182,148,black
249,126,255,black
167,175,65,black
136,123,79,black
79,240,54,black
69,227,226,black
153,71,90,white
29,246,4,black
141,98,161,white
107,175,48,black
123,189,42,black
65,98,89,white
11,67,211,white
123,195,220,black
7,142,244,black
128,0,37,white
204,143,232,black
160,119,251,black
191,184,194,black
82,43,128,white
188,239,70,black
104,168,76,black
230,179,225,black
79,134,38,black
92,61,168,white
167,107,192,black
55,172,243,black
183,249,68,black
118,163,107,black
1,213,101,black
187,241,45,black
235,63,100,black
113,11,117,white
136,149,93,black
164,76,77,white
27,74,82,white
219,114,186,black
192,42,194,white
203,213,167,black
176,108,122,black
169,229,10,black
109,23,56,white
116,11,39,white
166,144,94,black
211,2,45,white
170,248,73,black
190,146,80,black
62,125,208,black
98,95,110,white
0,46,243,white
170,22,48,white
63,181,157,black
213,137,114,black
237,159,28,black
3,92,91,white
219,51,31,white
107,234,198,black
131,138,81,black
110,222,245,black
54,232,58,black
163,63,85,white
250,229,104,black
44,60,7,white
136,241,251,black
198,24,38,white
145,251,169,black
19,76,190,white
25,238,112,black
48,186,58,black
204,80,26,black
133,63,6,white
42,164,244,black
240,85,3,black
206,166,195,black
163,65,188,white
190,216,15,black
110,166,32,black
242,240,161,black
44,35,135,white
29,23,182,white
126,165,59,black
122,1,73,white
98,116,32,white
164,92,245,black
100,56,132,white
239,190,179,black
196,9,120,white
225,230,184,black
198,31,188,white
198,184,49,black
135,109,101,white
13,72,3,white
181,255,74,black
176,197,194,black
15,218,110,black
149,98,230,black
23,200,26,black
4,132,36,white
124,95,187,white
151,95,101,white
193,77,112,white
177,111,232,black
31,16,230,white
201,187,232,black
252,84,50,black
190,139,64,black
23,236,205,black
70,243,124,black
71,125,124,white
152,104,242,black
114,120,18,white
43,143,228,black
81,26,92,white
62,90,161,white
29,244,158,black
103,60,205,white
38,169,21,black
177,36,2,white
172,225,20,black
195,102,150,black
178,221,218,black
244,49,39,black
172,236,76,black
198,208,181,black
44,103,32,white
165,86,119,white
6,63,16,white
6,204,190,black
4,33,255,white
130,5,80,white
84,49,201,white
242,75,87,black
124,122,174,black
90,186,88,black
247,199,247,black
115,198,2,black
219,131,44,black
2,22,213,white
218,188,138,black
78,70,101,white
105,192,176,black
92,17,66,white
125,100,200,white
43,131,137,black
142,109,12,white
146,233,251,black
153,206,215,black
74,147,96,black
1,138,120,black
92,204,149,black
247,87,160,black
144,181,118,black
102,147,31,black
197,46,72,white
106,203,173,black
24,2,246,white
38,78,19,white
90,213,204,black
238,36,91,black
128,41,125,white
69,118,215,black
170,28,24,white
211,206,107,black
64,179,179,black
59,31,54,white
28,94,55,white
124,218,1,black
34,53,74,white
174,34,107,white
164,16,136,white
69,44,215,white
146,207,119,black
131,103,204,black
58,19,41,white
209,208,137,black
131,77,7,white
39,241,189,black
40,205,175,black
217,76,10,black
195,245,245,black
181,130,41,black
192,84,171,black
189,212,186,black
63,153,71,black
76,215,239,black
8,169,235,black
201,181,67,black
215,129,255,black
173,244,99,black
43,74,221,white
163,24,13,white
187,142,217,black
209,116,198,black
181,231,138,black
105,176,179,black
63,152,26,black
43,71,240,white
128,67,25,white
125,188,150,black
44,136,76,black
205,188,154,black
186,167,229,black
253,244,75,black
245,56,25,black
5,229,188,black
36,231,123,black
102,0,200,white
131,140,179,black
249,105,94,black
253,114,175,black
125,198,96,black
167,220,168,black
56,98,63,white
4,36,42,white
123,201,64,black
223,135,42,black
146,247,107,black
67,5,6,white
66,69,254,white
153,128,69,black
4,94,85,white
187,189,203,black
112,243,50,black
100,203,110,black
114,228,75,black
230,103,55,black
235,241,41,black
40,130,11,white
98,143,246,black
132,88,251,black
178,4,97,white
151,36,114,white
45,84,68,white
186,110,211,black
144,178,250,black
157,16,80,white
30,129,102,white
133,108,193,black
240,235,194,black
73,131,85,black
12,100,87,white
39,66,196,white
71,23,226,white
200,242,135,black
73,24,31,white
118,138,179,black
115,160,5,black
220,183,2,black
188,147,60,black
21,106,172,white
81,85,55,white
161,166,187,black
168,242,57,black
55,186,109,black
136,251,220,black
255,88,111,black
75,218,39,black
83,188,180,black
84,112,33,white
36,68,216,white
215,249,208,black
250,59,160,black
54,68,53,white
251,24,3,black
31,53,253,white
82,26,206,white
3,205,147,black
37,254,206,black
127,170,236,black
145,109,40,white
150,89,10,white
83,4,238,white
53,160,159,black
140,114,170,black
20,214,242,black
61,89,173,white
203,89,77,black
254,179,236,black
237,155,220,black
188,217,50,black
164,163,140,black
255,246,135,black
145,54,64,white
66,21,65,white
234,163,15,black
34,20,203,white
58,223,241,black
160,28,120,white
69,196,201,black
244,161,0,black
178,60,202,white
64,214,68,black
16,157,17,black
22,149,130,black
10,126,229,black
217,58,92,black
170,115,190,black
145,213,209,black
140,213,16,black
250,203,74,black
4,95,188,white
18,178,126,black
98,69,104,white
5,222,57,black
148,115,214,black
82,3,248,white
183,89,220,black
226,188,89,black
106,29,226,white
63,88,23,white
102,60,222,white
3,209,234,black
56,194,251,black
176,105,30,black
215,209,225,black
15,80,198,white
99,57,43,white
79,228,201,black
61,208,39,black
183,203,25,black
86,197,109,black
120,21,13,white
137,228,125,black
102,96,185,white
251,129,61,black
46,118,212,black
93,25,29,white
128,12,168,white
198,198,205,black
245,211,160,black
212,21,245,black
230,248,102,black
213,93,108,black
13,114,117,white
21,138,63,black
131,223,248,black
126,227,50,black
54,133,108,black
116,99,233,black
17,56,131,white
53,190,27,black
222,74,162,black
246,190,66,black
187,254,200,black
65,188,240,black
194,122,41,black
150,177,15,black
210,176,109,black
227,23,130,black
82,142,121,black
205,207,123,black
252,120,217,black
216,221,251,black
25,175,170,black
145,221,33,black
83,110,26,white
17,22,250,white
103,8,187,white
156,4,192,white
20,19,215,white
222,36,64,white
144,219,23,black
181,14,105,white
96,15,177,white
100,123,83,white
35,32,12,white
218,41,219,black
174,45,128,white
164,106,188,black
14,37,149,white
151,230,205,black
13,80,132,white
44,103,125,white
127,54,98,white
65,182,53,black
153,208,156,black
42,80,236,white
49,95,225,white
52,193,212,black
193,201,172,black
134,59,42,white
48,158,205,black
35,216,168,black
31,197,179,black
103,226,18,black
58,25,194,white
240,95,151,black
245,208,230,black
99,168,201,black
142,25,172,white
248,68,5,black
13,23,51,white
50,208,65,black
246,3,215,black
209,216,235,black
58,189,216,black
141,77,59,white
64,210,82,black
87,146,124,black
227,164,85,black
208,97,221,black
68,203,112,black
63,228,0,black
22,236,22,black
232,19,152,black
49,210,129,black
189,158,8,black
91,250,96,black
115,229,192,black
252,149,208,black
176,96,131,black
33,242,26,black
177,192,77,black
185,225,88,black
122,117,245,black
174,25,10,white
126,167,116,black
26,140,48,black
98,235,247,black
122,140,176,black
108,32,155,white
87,9,102,white
171,169,180,black
39,168,106,black
49,229,90,black
166,84,93,white
151,12,178,white
131,73,0,white
91,52,55,white
131,142,240,black
158,225,170,black
159,39,112,white
30,159,138,black
7,73,134,white
205,219,0,black
231,127,93,black
143,241,184,black
131,32,171,white
105,66,92,white
94,79,118,white
209,217,87,black
63,229,30,black
199,127,249,black
145,36,41,white
132,147,66,black
82,147,76,black
23,91,78,white
64,170,238,black
139,174,71,black
253,60,144,black
177,136,238,black
104,248,166,black
14,204,216,black
62,138,57,black
92,72,108,white
98,162,19,black
226,24,63,white
195,4,95,white
139,34,26,white
186,204,197,black
93,214,77,black
254,40,159,black
218,219,114,black
203,182,152,black
208,180,199,black
196,193,23,black
64,193,96,black
71,237,61,black
246,79,242,black
246,144,208,black
74,139,93,black
223,1,99,white
63,236,154,black
86,210,59,black
133,224,185,black
2,161,16,black
233,11,195,black
63,144,26,black
187,73,11,white
81,243,90,black
169,192,209,black
111,105,39,white
177,54,157,white
68,108,99,white
174,34,9,white
177,157,121,black
199,2,220,white
182,231,26,black
126,56,99,white
186,16,20,white
233,216,140,black
219,171,126,black
31,166,173,black
230,104,62,black
0,178,210,black
191,122,42,black
169,13,24,white
147,113,102,black
111,148,209,black
51,122,149,white
187,188,212,black
158,140,82,black
57,9,132,white
172,9,20,white
22,47,75,white
132,198,146,black
168,223,105,black
108,38,165,white
13,64,253,white
189,161,13,black
234,151,214,black
216,113,154,black
212,33,231,black
142,99,54,white
72,10,236,white
80,112,31,white
142,24,155,white
242,181,150,black
180,71,2,white
109,221,77,black
171,220,156,black
130,226,232,black
205,174,220,black
184,62,9,white
169,184,54,black
205,89,209,black
16,16,254,white
218,105,234,black
3,99,2,white
198,63,67,white
220,30,97,white
72,239,192,black
56,7,49,white
37,73,166,white
238,254,118,black
151,9,158,white
191,50,239,black
188,154,140,black
215,22,25,white
13,253,62,black
249,211,7,black
30,28,57,white
47,69,166,white
121,46,216,white
31,107,92,white
157,46,61,white
99,118,126,white
32,120,149,white
207,184,227,black
105,243,185,black
66,6,145,white
124,65,103,white
162,54,66,white
225,85,70,black
251,56,173,black
177,32,214,white
149,236,104,black
46,180,96,black
64,238,122,black
250,182,149,black
105,76,82,white
149,99,189,black
210,124,139,black
254,115,20,black
78,187,211,black
173,124,52,black
118,19,224,white
24,182,118,black
108,208,43,black
177,221,189,black
215,176,143,black
169,71,130,white
163,214,12,black
39,133,203,black
17,202,30,black
75,157,150,black
66,86,76,white
164,200,102,black
34,125,194,black
146,53,195,white
166,65,175,white
108,102,237,black
209,228,176,black
102,81,140,white
144,73,57,white
8,93,97,white
126,105,191,black
120,29,227,white
78,223,96,black
168,190,173,black
143,107,82,white
214,150,223,black
211,222,81,black
158,114,226,black
122,4,219,white
144,169,115,black
193,112,115,black
242,231,157,black
32,49,52,white
25,121,192,white
204,117,141,black
38,59,154,white
114,111,191,black
42,239,155,black
134,216,65,black
7,77,197,white
153,110,119,black
196,134,221,black
142,87,14,white
181,11,225,white
235,30,151,black
113,230,105,black
5,208,59,black
217,252,82,black
2,125,56,white
240,20,118,black
64,183,225,black
133,160,13,black
224,229,144,black
129,64,6,white
137,231,167,black
27,55,39,white
75,125,181,black
97,255,121,black
187,240,154,black
59,95,218,white
52,79,8,white
13,125,101,white
0,198,156,black
193,167,208,black
187,243,196,black
36,148,142,black
114,130,241,black
186,24,86,white
105,31,223,white
14,200,185,black
54,187,59,black
89,208,99,black
95,135,101,black
81,163,95,black
167,51,59,white
223,104,62,black
123,135,247,black
251,218,247,black
244,16,5,black
20,215,109,black
62,181,127,black
11,78,77,white
20,228,143,black
102,96,27,white
220,228,183,black
218,165,122,black
38,59,38,white
240,149,241,black
6,155,122,black
206,213,0,black
218,114,35,black
120,112,224,black
229,93,248,black
125,193,54,black
6,230,7,black
122,113,243,black
74,184,29,black
6,139,225,black
73,78,203,white
115,45,106,white
33,42,73,white
163,98,118,white
217,181,184,black
150,206,124,black
129,171,205,black
18,199,254,black
2,172,68,black
15,159,107,black
249,73,42,black
110,166,50,black
214,209,119,black
171,76,139,white
219,2,80,white
180,168,172,black
19,153,63,black
162,59,252,white
210,15,7,white
87,34,243,white
68,194,36,black
228,231,12,black
65,31,84,white
253,227,16,black
183,117,168,black
248,79,78,black
64,100,120,white
233,123,186,black
223,19,80,white
255,41,161,black
74,115,30,white
24,159,14,black
121,84,2,white
40,253,37,black
219,35,63,white
136,234,75,black
185,234,139,black
224,105,23,black
143,83,140,white
29,86,38,white
231,31,10,black
26,159,252,black
147,62,187,white
19,51,29,white
28,198,155,black
114,148,153,black
232,58,13,black
32,252,56,black
54,132,137,black
219,64,102,black
60,221,55,black
105,129,89,black
133,157,56,black
77,108,208,white
117,203,2,black
72,173,84,black
82,31,102,white
150,33,47,white
137,188,172,black
164,190,134,black
42,144,8,black
150,222,45,black
160,223,142,black
37,74,61,white
161,185,194,black
157,106,149,black
118,169,209,black
141,217,82,black
192,208,117,black
180,97,198,black
16,206,59,black
4,215,17,black
68,9,235,white
75,140,237,black
117,121,44,white
153,55,163,white
214,118,56,black
219,251,22,black
67,93,50,white
92,11,21,white
75,14,45,white
255,20,32,black
99,105,118,white
91,144,0,black
51,1,245,white
229,49,49,black
70,160,247,black
31,67,232,white
36,148,35,black
245,189,155,black
102,190,29,black
97,96,18,white
142,111,35,white
233,247,236,black
196,183,244,black
209,85,93,black
2,56,88,white
234,25,239,black
204,14,175,white
84,111,90,white
157,130,227,black
46,206,196,black
205,31,217,black
108,88,69,white
49,18,42,white
227,138,28,black
241,200,47,black
133,99,149,white
222,53,130,black
218,227,92,black
237,80,171,black
18,144,144,black
108,169,29,black
177,154,84,black
47,69,253,white
68,8,71,white
113,124,211,black
4,110,226,white
22,5,32,white
208,246,249,black
43,140,78,black
143,109,119,black
230,235,173,black
79,78,99,white
51,30,176,white
76,229,79,black
137,33,246,white
172,88,109,white
44,234,236,black
137,233,176,black
105,62,145,white
45,64,195,white
215,137,79,black
43,223,240,black
35,13,60,white
188,118,74,black
199,34,249,black
155,13,88,white
222,159,174,black
57,70,148,white
44,149,185,black
166,110,114,black
48,15,118,white
88,216,24,black
151,39,111,white
206,98,236,black
5,22,1,white
35,2,181,white
9,103,14,white
217,8,209,black
118,123,173,black
183,35,161,white
182,180,170,black
51,118,112,white
91,114,159,white
164,71,59,white
11,59,154,white
191,31,81,white
70,156,35,black
140,201,141,black
6,6,143,white
97,154,181,black
166,92,90,white
160,133,63,black
9,13,60,white
136,47,27,white
128,85,35,white
215,27,208,black
24,66,58,white
100,71,62,white
34,37,111,white
169,252,127,black
86,111,226,black
166,16,101,white
19,7,34,white
24,90,3,white
37,204,250,black
220,113,86,black
54,67,144,white
43,6,93,white
213,195,23,black
55,124,5,white
222,48,53,white
164,76,59,white
205,131,96,black
17,207,160,black
51,49,110,white
179,37,138,white
246,172,188,black
166,178,157,black
12,71,68,white
201,194,24,black
240,181,141,black
49,83,209,white
253,120,189,black
110,94,36,white
128,148,149,black
61,188,19,black
232,114,24,black
253,198,231,black
5,231,152,black
26,27,82,white
54,189,87,black
125,107,176,black
193,102,159,black
50,100,72,white
182,98,227,black
144,84,31,white
204,138,174,black
192,40,178,white
107,8,109,white
184,163,170,black
113,39,44,white
3,129,191,black
65,36,44,white
201,172,167,black
57,119,159,white
121,194,118,black
244,195,216,black
23,226,243,black
91,105,213,white
92,79,208,white
15,30,189,white
54,150,121,black
116,179,171,black
63,8,18,white
185,23,39,white
38,145,154,black
42,177,229,black
28,78,176,white
96,19,6,white
173,41,184,white
208,31,180,white
140,229,28,black
166,140,2,black
228,134,182,black
79,156,169,black
12,232,2,black
90,163,5,black
232,17,137,black
34,27,2,white
225,176,155,black
21,46,62,white
39,41,52,white
208,7,235,black
23,171,6,black
112,232,88,black
229,21,230,black
161,49,201,white
176,235,67,black
239,221,76,black
144,77,49,white
80,67,155,white
204,151,87,black
68,142,37,black
28,124,104,white
36,85,155,white
173,206,185,black
171,34,75,white
233,193,87,black
129,107,249,black
53,239,255,black
139,110,50,white
220,144,150,black
139,245,227,black
78,30,109,white
213,134,36,black
247,21,145,black
188,28,108,white
123,20,10,white
31,68,167,white
33,15,213,white
113,13,148,white
148,240,247,black
64,109,99,white
76,17,199,white
63,18,126,white
24,33,99,white
112,170,46,black
160,85,7,white
33,78,222,white
70,89,157,white
35,74,219,white
204,169,41,black
106,50,183,white
90,114,75,white
165,164,200,black
238,73,165,black
40,163,39,black
5,104,36,white
28,162,117,black
234,209,79,black
191,229,175,black
75,120,111,white
74,193,64,black
113,132,163,black
247,79,22,black
62,222,105,black
9,182,25,black
154,237,72,black
147,97,200,black
215,98,7,black
238,218,1,black
246,215,29,black
239,228,92,black
221,115,171,black
13,21,192,white
73,228,209,black
80,218,102,black
215,208,156,black
216,3,57,white
87,188,71,black
204,217,229,black
89,195,117,black
160,23,232,white
187,63,128,white
60,97,74,white
40,133,36,white
198,51,215,black
107,170,94,black
57,242,216,black
73,213,22,black
88,181,247,black
6,186,22,black
40,177,241,black
163,70,44,white
194,185,0,black
99,139,222,black
27,205,247,black
8,231,43,black
32,251,81,black
219,101,236,black
164,197,111,black
91,33,59,white
126,165,232,black
166,153,47,black
199,127,101,black
3,27,104,white
80,91,77,white
134,6,138,white
237,13,94,black
199,165,2,black
72,33,76,white
125,120,194,black
106,198,237,black
27,237,70,black
230,156,83,black
39,110,47,white
23,84,42,white
38,184,141,black
239,126,165,black
177,228,118,black
102,141,146,black
104,104,125,white
72,5,218,white
23,56,248,white
37,242,55,black
136,128,146,black
199,56,241,black
230,242,3,black
144,188,64,black
20,95,159,white
35,130,136,black
21,197,94,black
14,42,117,white
89,96,104,white
243,52,88,black
18,163,237,black
163,153,245,black
27,212,150,black
172,202,205,black
200,43,127,white
254,93,54,black
97,191,31,black
242,235,72,black
235,61,87,black
68,8,124,white
254,101,174,black
142,192,185,black
252,170,142,black
249,29,159,black
1,203,119,black
156,28,21,white
152,110,179,black
234,254,255,black
216,253,173,black
17,162,55,black
152,213,46,black
29,118,153,white
122,84,4,white
52,237,81,black
2,63,141,white
104,10,231,white
128,34,65,white
229,178,167,black
25,226,205,black
215,167,246,black
4,42,47,white
210,104,108,black
167,43,252,white
136,139,196,black
114,202,97,black
71,247,170,black
74,250,156,black
45,65,20,white
252,220,98,black
97,151,210,black
41,29,60,white
52,27,146,white
218,208,77,black
220,194,123,black
16,0,4,white
111,193,167,black
88,71,174,white
82,81,215,white
172,223,13,black
144,193,3,black
69,165,17,black
147,251,112,black
240,206,106,black
45,226,90,black
32,218,110,black
89,43,225,white
239,169,139,black
17,121,16,white
209,92,219,black
120,56,168,white
63,237,232,black
55,51,247,white
16,214,4,black
207,39,61,white
244,21,160,black
180,14,215,white
121,118,11,white
73,246,253,black
243,199,220,black
241,17,208,black
158,90,39,white
92,182,179,black
113,81,80,white
62,167,161,black
191,81,234,black
230,147,158,black
21,210,214,black
11,12,75,white
93,180,143,black
144,195,112,black
151,84,180,white
248,240,241,black
230,68,211,black
224,56,141,black
147,253,137,black
190,91,180,black
84,81,71,white
246,97,39,black
142,79,224,white
93,23,72,white
244,0,20,black
131,152,32,black
21,253,11,black
179,184,175,black
4,1,236,white
202,204,64,black
67,87,250,white
168,56,113,white
96,169,136,black
123,71,134,white
18,176,206,black
6,9,143,white
132,34,38,white
82,152,224,black
164,7,143,white
169,135,138,black
3,199,169,black
83,106,14,white
39,133,197,black
22,229,88,black
232,154,141,black
98,159,208,black
230,64,122,black
103,171,97,black
173,187,45,black
102,26,25,white
107,122,150,black
3,26,66,white
137,22,2,white
56,64,135,white
157,134,115,black
186,240,23,black
142,111,5,white
155,72,125,white
185,10,27,white
190,208,83,black
240,11,176,black
16,212,194,black
67,30,4,white
75,208,105,black
114,176,240,black
116,58,50,white
130,111,12,white
95,75,222,white
25,201,143,black
56,9,142,white
203,184,123,black
29,199,205,black
102,88,231,white
20,192,127,black
14,86,160,white
214,164,231,black
116,222,163,black
59,126,242,black
246,88,200,black
23,190,71,black
21,74,188,white
219,55,190,black
39,116,130,white
235,218,252,black
196,67,254,black
221,126,168,black
57,180,63,black
71,156,72,black
154,225,248,black
190,99,12,black
241,71,39,black
71,83,233,white
244,220,173,black
126,194,5,black
131,117,254,black
93,91,166,white
42,118,76,white
53,225,121,black
227,3,25,white
30,212,195,black
164,254,80,black
226,162,120,black
225,176,165,black
107,151,59,black
38,136,121,black
123,59,216,white
254,199,106,black
1,209,74,black
65,8,142,white
218,114,54,black
85,103,46,white
113,168,43,black
218,222,217,black
93,155,114,black
176,222,230,black
71,188,222,black
13,179,75,black
236,8,255,black
139,129,191,black
34,170,132,black
230,100,84,black
216,187,188,black
199,120,151,black
59,123,233,black
118,124,196,black
145,100,98,white
56,136,85,black
192,153,24,black
189,64,43,white
248,69,6,black
227,132,151,black
233,102,45,black
244,116,210,black
156,116,143,black
127,28,32,white
72,171,2,black
19,166,10,black
177,134,109,black
20,223,171,black
113,228,122,black
14,97,73,white
132,161,163,black
146,150,105,black
172,93,104,white
127,211,183,black
214,149,41,black
11,127,9,white
84,241,29,black
37,206,93,black
135,108,222,black
141,65,15,white
130,30,105,white
177,82,204,black
219,10,131,white
118,142,26,black
49,3,186,white
243,128,9,black
240,144,237,black
171,213,189,black
207,60,5,white
6,66,160,white
126,85,117,white
72,212,164,black
175,68,227,black
123,86,98,white
133,177,4,black
144,63,69,white
194,224,44,black
105,109,19,white
26,101,135,white
45,86,115,white
75,210,229,black
96,72,99,white
29,140,212,black
252,147,96,black
183,128,228,black
49,188,37,black
38,200,29,black
221,84,238,black
171,26,5,white
52,170,149,black
52,14,232,white
162,35,87,white
212,37,28,white
9,118,106,white
41,164,66,black
178,7,39,white
99,62,198,white
165,197,94,black
119,67,221,white
61,137,236,black
65,138,61,black
113,173,242,black
86,210,1,black
21,78,105,white
239,189,204,black
110,237,107,black
224,191,129,black
39,103,182,white
227,153,40,black
162,122,153,black
115,8,138,white
232,1,248,black
173,100,76,black
55,31,73,white
93,102,19,white
239,158,132,black
162,248,212,black
150,36,106,white
0,13,55,white
92,8,90,white
36,221,145,black
176,221,231,black
106,53,129,white
196,126,207,black
126,148,106,black
207,75,55,black
212,186,171,black
212,187,197,black
120,33,114,white
125,217,22,black
21,251,15,black
252,66,218,black
173,135,92,black
179,18,114,white
11,218,24,black
244,17,150,black
